ROI_number,x,y,z,VOL,Frontal_L,Frontal_R,Parietal_L,Parietal_R,Occipital_L,Occipital_R,Temporal_L,Temporal_R,Insula_L,Insula_R,Subcortical_L,Subcortical_R
1,-51.8055555555556,34.4722222222222,-3.63888888888889,72,1,0,0,0,0,0,0,0,0,0,0,0
2,-0.27027027027027,48.990990990991,18.7207207207207,111,0.63963963963964,0.36036036036036,0,0,0,0,0,0,0,0,0,0
3,-18.6451612903226,-4.32258064516129,68.1290322580645,93,1,0,0,0,0,0,0,0,0,0,0,0
4,49.2307692307692,17.9692307692308,44.0307692307692,65,0,1,0,0,0,0,0,0,0,0,0,0
5,13.8867924528302,-32.188679245283,68.7547169811321,53,0,1,0,0,0,0,0,0,0,0,0,0
6,33.2571428571429,35.6,-14.3142857142857,70,0,1,0,0,0,0,0,0,0,0,0,0
7,-34.8181818181818,12.8636363636364,27.3636363636364,44,1,0,0,0,0,0,0,0,0,0,0,0
8,-44.3684210526316,-2.94736842105263,13.9473684210526,38,1,0,0,0,0,0,0,0,0,0,0,0
9,-16.2,-31.7333333333333,64,30,1,0,0,0,0,0,0,0,0,0,0,0
10,62.8163265306123,0,14.3265306122449,49,0,1,0,0,0,0,0,0,0,0,0,0
11,31.536231884058,3.94202898550725,51.6811594202899,69,0,1,0,0,0,0,0,0,0,0,0,0
12,46.4318181818182,34.8863636363636,-0.931818181818182,88,0,1,0,0,0,0,0,0,0,0,0,0
13,-40.6486486486486,4.05405405405405,9.56756756756757,37,1,0,0,0,0,0,0,0,0,0,0,0
14,-34,51.741935483871,10.4193548387097,62,1,0,0,0,0,0,0,0,0,0,0,0
15,30.4507042253521,56.8450704225352,23.4929577464789,71,0,1,0,0,0,0,0,0,0,0,0,0
16,-2.53658536585366,2.26829268292683,39.9024390243902,82,0.951219512195122,0.048780487804878,0,0,0,0,0,0,0,0,0,0
17,26.2702702702703,14.7567567567568,-21.2432432432432,37,0,1,0,0,0,0,0,0,0,0,0,0
18,-23.6727272727273,26.6181818181818,39.0909090909091,55,1,0,0,0,0,0,0,0,0,0,0,0
19,-8.83333333333333,-15,44.9583333333333,48,1,0,0,0,0,0,0,0,0,0,0,0
20,32.8214285714286,-8.60714285714286,47.9285714285714,56,0,1,0,0,0,0,0,0,0,0,0,0
21,-11.6538461538462,51.0384615384615,-4.26923076923077,52,1,0,0,0,0,0,0,0,0,0,0,0
22,-35.8333333333333,29.2083333333333,2.875,48,1,0,0,0,0,0,0,0,0,0,0,0
23,-3.32307692307692,27.3846153846154,-9.81538461538462,65,1,0,0,0,0,0,0,0,0,0,0,0
24,-26.0615384615385,-9.56923076923077,50.1846153846154,65,1,0,0,0,0,0,0,0,0,0,0,0
25,54.7887323943662,6.30985915492958,24.2535211267606,71,0,1,0,0,0,0,0,0,0,0,0,0
26,-22.551724137931,51.5862068965517,22.7586206896552,87,1,0,0,0,0,0,0,0,0,0,0,0
27,39.8,24.6,1.68571428571429,70,0,1,0,0,0,0,0,0,0,0,0,0
28,-7.90909090909091,61.2045454545455,-19.8181818181818,88,1,0,0,0,0,0,0,0,0,0,0,0
29,-63.5238095238095,-7.95238095238095,20.952380952381,42,1,0,0,0,0,0,0,0,0,0,0,0
30,8.92753623188406,15.8260869565217,43.9710144927536,69,0,1,0,0,0,0,0,0,0,0,0,0
31,45.5471698113208,-8.60377358490566,58.2264150943396,53,0,1,0,0,0,0,0,0,0,0,0,0
32,-27.1428571428571,14.8571428571429,45.8571428571429,42,1,0,0,0,0,0,0,0,0,0,0,0
33,-3.93103448275862,-43.8620689655172,69.7241379310345,29,1,0,0,0,0,0,0,0,0,0,0,0
34,38.7272727272727,27,8.45454545454546,44,0,1,0,0,0,0,0,0,0,0,0,0
35,12.8813559322034,38.5423728813559,20.9152542372881,59,0,1,0,0,0,0,0,0,0,0,0,0
36,-61.9,-14.15,36.45,40,1,0,0,0,0,0,0,0,0,0,0,0
37,8.08333333333333,-24.9166666666667,58.2083333333333,48,0,1,0,0,0,0,0,0,0,0,0,0
38,-39.375,33.34375,25.53125,64,1,0,0,0,0,0,0,0,0,0,0,0
39,50.9565217391304,8.52173913043478,-0.695652173913043,46,0,1,0,0,0,0,0,0,0,0,0,0
40,11.6216216216216,-14.4324324324324,39.8918918918919,37,0,1,0,0,0,0,0,0,0,0,0,0
41,-62.0851063829787,-3.4468085106383,14.3829787234043,47,1,0,0,0,0,0,0,0,0,0,0,0
42,-13.7619047619048,48.3333333333333,8.14285714285714,42,1,0,0,0,0,0,0,0,0,0,0,0
43,-4.04651162790698,37.1395348837209,51.9767441860465,86,1,0,0,0,0,0,0,0,0,0,0,0
44,34.0923076923077,33.6923076923077,27.8153846153846,65,0,1,0,0,0,0,0,0,0,0,0,0
45,47.8620689655172,-3.27586206896552,33.1034482758621,58,0,1,0,0,0,0,0,0,0,0,0,0
46,5,27.2222222222222,21.6111111111111,72,0,1,0,0,0,0,0,0,0,0,0,0
47,14.8181818181818,10.6363636363636,-16.0909090909091,44,0,1,0,0,0,0,0,0,0,0,0,0
48,-30.3142857142857,33.9428571428571,-15,70,1,0,0,0,0,0,0,0,0,0,0,0
49,-40.1333333333333,-15.2,63,60,1,0,0,0,0,0,0,0,0,0,0,0
50,2.29545454545455,-4.45454545454545,40.9545454545455,88,0.295454545454546,0.704545454545455,0,0,0,0,0,0,0,0,0,0
51,32.5789473684211,-21,70.2105263157895,38,0,1,0,0,0,0,0,0,0,0,0,0
52,28,44.7241379310345,18.8620689655172,58,0,1,0,0,0,0,0,0,0,0,0,0
53,-38.6666666666667,8.51515151515152,28.4848484848485,66,1,0,0,0,0,0,0,0,0,0,0,0
54,35.0454545454545,15.2272727272727,27.2272727272727,44,0,1,0,0,0,0,0,0,0,0,0,0
55,3.61904761904762,30.8253968253968,-5.04761904761905,63,0.031746031746032,0.968253968253968,0,0,0,0,0,0,0,0,0,0
56,29,57.2631578947368,-6.89473684210526,76,0,1,0,0,0,0,0,0,0,0,0,0
57,-10.6315789473684,-28.7631578947368,69.2368421052632,76,1,0,0,0,0,0,0,0,0,0,0,0
58,-33.8214285714286,29.3571428571429,32.75,56,1,0,0,0,0,0,0,0,0,0,0,0
59,10.5135135135135,16.1081081081081,66.972972972973,74,0,1,0,0,0,0,0,0,0,0,0,0
60,4.02040816326531,48.5714285714286,-2.55102040816327,98,0.091836734693878,0.908163265306122,0,0,0,0,0,0,0,0,0,0
61,28.6666666666667,11.4047619047619,49.8571428571429,84,0,1,0,0,0,0,0,0,0,0,0,0
62,-45.2647058823529,18.8235294117647,28.8529411764706,68,1,0,0,0,0,0,0,0,0,0,0,0
63,-9.19298245614035,35.0175438596491,23.5087719298246,57,1,0,0,0,0,0,0,0,0,0,0,0
64,4.975,22.85,61.05,80,0.025,0.975,0,0,0,0,0,0,0,0,0,0
65,38.1639344262295,26.8196721311475,-14.3606557377049,61,0,1,0,0,0,0,0,0,0,0,0,0
66,28.2631578947368,-14.9473684210526,62.3684210526316,76,0,1,0,0,0,0,0,0,0,0,0,0
67,40.6153846153846,11,9.61538461538462,52,0,1,0,0,0,0,0,0,0,0,0,0
68,-32.9866666666667,39.4933333333333,28.1066666666667,75,1,0,0,0,0,0,0,0,0,0,0,0
