ROI_number,X_MNI,Y_MNI,Z_MNI,VOL,Frontal_L,Frontal_R,Insula_L,Insula_R,Occipital_L,Occipital_R,Parietal_L,Parietal_R,Subcortical_L,Subcortical_R,Temporal_L,Temporal_R
74,35.56,9.88,32.96,50,0,1,0,0,0,0,0,0,0,0,0,0
75,-6.9836,-38.787,75.115,61,1,0,0,0,0,0,0,0,0,0,0,0
76,39.014,26.676,6.6761,71,0,1,0,0,0,0,0,0,0,0,0,0
77,-21.261,-24.696,62.174,46,1,0,0,0,0,0,0,0,0,0,0,0
78,-43.61,24.416,-14.883,77,1,0,0,0,0,0,0,0,0,0,0,0
79,4.7826,20.196,60.761,92,0.021739,0.97826,0,0,0,0,0,0,0,0,0,0
80,-27,-7.9487,50.308,78,1,0,0,0,0,0,0,0,0,0,0,0
81,-13.892,39.811,-23.784,74,1,0,0,0,0,0,0,0,0,0,0,0
82,-24.78,56.881,10.068,59,1,0,0,0,0,0,0,0,0,0,0,0
83,-40.25,4.1875,9.6875,32,1,0,0,0,0,0,0,0,0,0,0,0
84,5.7849,-22.731,56.323,93,0,1,0,0,0,0,0,0,0,0,0,0
85,-9.5641,40.564,17.795,78,1,0,0,0,0,0,0,0,0,0,0,0
86,44.289,33.579,15.658,76,0,1,0,0,0,0,0,0,0,0,0,0
87,-35.233,11.267,27.1,60,1,0,0,0,0,0,0,0,0,0,0,0
88,-28.163,34.209,35.953,86,1,0,0,0,0,0,0,0,0,0,0,0
89,8.2045,44.068,-8.9773,88,0,1,0,0,0,0,0,0,0,0,0,0
90,-24.299,54.567,19.373,67,1,0,0,0,0,0,0,0,0,0,0,0
91,34.727,-21.091,69.236,55,0,1,0,0,0,0,0,0,0,0,0,0
92,22.883,59.429,-3.974,77,0,1,0,0,0,0,0,0,0,0,0,0
93,-5.4167,33.208,48.542,96,1,0,0,0,0,0,0,0,0,0,0,0
94,2.5667,29.133,-5.3667,60,0.2,0.8,0,0,0,0,0,0,0,0,0,0
95,22.877,5.5068,51.425,73,0,1,0,0,0,0,0,0,0,0,0,0
96,40.642,11.208,9.3585,53,0,1,0,0,0,0,0,0,0,0,0,0
97,-44.753,38.494,24.612,85,1,0,0,0,0,0,0,0,0,0,0,0
98,-27.043,-26.087,56.435,23,1,0,0,0,0,0,0,0,0,0,0,0
99,8.7529,29.176,27.812,85,0,1,0,0,0,0,0,0,0,0,0,0
100,-17.562,56.932,-16.329,73,1,0,0,0,0,0,0,0,0,0,0,0
101,-6.6923,-25.795,59.179,78,1,0,0,0,0,0,0,0,0,0,0,0
102,-43.543,33.048,0.45714,105,1,0,0,0,0,0,0,0,0,0,0,0
103,26.8,21.8,-15.24,50,0,1,0,0,0,0,0,0,0,0,0,0
104,21.052,28.701,56.124,97,0,1,0,0,0,0,0,0,0,0,0,0
105,-20.337,33.979,41.853,95,1,0,0,0,0,0,0,0,0,0,0,0
106,12.538,62.897,25.974,78,0,1,0,0,0,0,0,0,0,0,0,0
107,-20.456,-27.088,74.351,57,1,0,0,0,0,0,0,0,0,0,0,0
108,-62.267,-3.4222,14.533,45,1,0,0,0,0,0,0,0,0,0,0,0
109,43.709,29.068,22.932,103,0,1,0,0,0,0,0,0,0,0,0,0
110,-26.692,22,-23.154,52,1,0,0,0,0,0,0,0,0,0,0,0
