ROI_number,X_MNI,Y_MNI,Z_MNI,VOL,Frontal_L,Frontal_R,Insula_L,Insula_R,Occipital_L,Occipital_R,Parietal_L,Parietal_R,Subcortical_L,Subcortical_R,Temporal_L,Temporal_R
1,-35.214,51.864,18.146,206,1,0,0,0,0,0,0,0,0,0,0,0
2,-38.673,30.701,34.598,214,1,0,0,0,0,0,0,0,0,0,0,0
3,6.6719,8.5,55.266,256,0,1,0,0,0,0,0,0,0,0,0,0
4,45.561,47.209,-4.738,187,0,1,0,0,0,0,0,0,0,0,0,0
5,-60.416,-6.3483,24.157,178,1,0,0,0,0,0,0,0,0,0,0,0
6,20.436,7.8389,65.014,211,0,1,0,0,0,0,0,0,0,0,0,0
7,6.4393,31.318,28.542,214,0.074766,0.92523,0,0,0,0,0,0,0,0,0,0
8,-27.965,37.399,41.538,173,1,0,0,0,0,0,0,0,0,0,0,0
9,-0.46766,39.701,-25.483,201,0.64677,0.35323,0,0,0,0,0,0,0,0,0,0
10,34.129,29,-4.9,140,0,1,0,0,0,0,0,0,0,0,0,0
11,-26.324,-10.223,52.793,179,1,0,0,0,0,0,0,0,0,0,0,0
12,-5.6686,4.0355,65.976,169,1,0,0,0,0,0,0,0,0,0,0,0
13,-33.173,25.91,-10.617,133,1,0,0,0,0,0,0,0,0,0,0,0
14,52.046,-2.0925,31.665,173,0,1,0,0,0,0,0,0,0,0,0,0
15,40.925,36.816,16.109,201,0,1,0,0,0,0,0,0,0,0,0,0
16,18.528,12.097,-18.194,144,0,1,0,0,0,0,0,0,0,0,0,0
17,-48.755,39.872,-5.5426,188,1,0,0,0,0,0,0,0,0,0,0,0
18,29.033,-12.817,66.178,213,0,1,0,0,0,0,0,0,0,0,0,0
19,5.6506,-12.867,62.867,166,0.018072,0.98193,0,0,0,0,0,0,0,0,0,0
20,-40.731,31.603,19.705,156,1,0,0,0,0,0,0,0,0,0,0,0
21,0.77372,-6.6569,33.314,137,0.51825,0.48175,0,0,0,0,0,0,0,0,0,0
22,-60.146,-11.457,34.742,151,1,0,0,0,0,0,0,0,0,0,0,0
23,-35.846,17.808,39.41,156,1,0,0,0,0,0,0,0,0,0,0,0
24,-14.938,22.167,-19.24,192,1,0,0,0,0,0,0,0,0,0,0,0
25,22.681,34.095,-16.871,232,0,1,0,0,0,0,0,0,0,0,0,0
26,-17.322,-24.847,72.893,177,1,0,0,0,0,0,0,0,0,0,0,0
27,-35.175,24.951,-19.427,143,1,0,0,0,0,0,0,0,0,0,0,0
28,51.435,11.282,15.035,170,0,1,0,0,0,0,0,0,0,0,0,0
29,36.98,12.623,29.258,151,0,1,0,0,0,0,0,0,0,0,0,0
30,-47.687,8.8295,19.382,217,1,0,0,0,0,0,0,0,0,0,0,0
31,-6.1808,60.746,28.102,177,1,0,0,0,0,0,0,0,0,0,0,0
32,-6.5938,60.708,6.0521,192,1,0,0,0,0,0,0,0,0,0,0,0
33,58.925,8.9249,7.6879,173,0,1,0,0,0,0,0,0,0,0,0,0
34,-6.8276,0.31527,42.197,203,1,0,0,0,0,0,0,0,0,0,0,0
35,-5.1486,-29.405,66.73,148,1,0,0,0,0,0,0,0,0,0,0,0
36,-7.3812,36.254,54.276,181,1,0,0,0,0,0,0,0,0,0,0,0
37,25,64.92,7.2989,174,0,1,0,0,0,0,0,0,0,0,0,0
38,28.593,-7.4258,51.416,209,0,1,0,0,0,0,0,0,0,0,0,0
39,10.63,46.146,4.8584,219,0,1,0,0,0,0,0,0,0,0,0,0
40,-39.925,3.7005,39.69,187,1,0,0,0,0,0,0,0,0,0,0,0
41,6.9503,14.221,-18.608,181,0.0055249,0.99448,0,0,0,0,0,0,0,0,0,0
42,-40.994,20.647,6.6705,173,1,0,0,0,0,0,0,0,0,0,0,0
43,-48.061,29.539,26.848,165,1,0,0,0,0,0,0,0,0,0,0,0
44,25.772,15.95,48.158,202,0,1,0,0,0,0,0,0,0,0,0,0
45,49.974,18.847,33.459,229,0,1,0,0,0,0,0,0,0,0,0,0
46,-5.764,-16.956,50.909,339,0.9705,0.029499,0,0,0,0,0,0,0,0,0,0
47,6.6347,56.587,34.144,167,0,1,0,0,0,0,0,0,0,0,0,0
48,-45.915,2.1239,7.9887,355,1,0,0,0,0,0,0,0,0,0,0,0
49,60.394,4.0099,19.586,203,0,1,0,0,0,0,0,0,0,0,0,0
50,-11.155,47.578,9.4658,161,1,0,0,0,0,0,0,0,0,0,0,0
51,-17.783,-11.208,61.528,212,1,0,0,0,0,0,0,0,0,0,0,0
52,-42.688,43.395,11.572,215,1,0,0,0,0,0,0,0,0,0,0,0
53,0.90566,6.1887,32.009,212,0.5,0.5,0,0,0,0,0,0,0,0,0,0
54,-58.398,-1.9759,13.506,166,1,0,0,0,0,0,0,0,0,0,0,0
55,-6.3214,52.524,39.976,168,1,0,0,0,0,0,0,0,0,0,0,0
