ROI_number,X_MNI,Y_MNI,Z_MNI,VOL,Frontal_L,Frontal_R,Insula_L,Insula_R,Occipital_L,Occipital_R,Parietal_L,Parietal_R,Subcortical_L,Subcortical_R,Temporal_L,Temporal_R
1,47.465,39.136,-11.959,243,0,1,0,0,0,0,0,0,0,0,0,0
2,29.257,57.793,8.5643,280,0,1,0,0,0,0,0,0,0,0,0,0
3,-29.516,-23.064,56.695,645,1,0,0,0,0,0,0,0,0,0,0,0
4,-36.597,29.64,-2.3697,211,1,0,0,0,0,0,0,0,0,0,0,0
5,-26.016,50.304,25.556,257,1,0,0,0,0,0,0,0,0,0,0,0
6,47.932,9.3636,23.258,264,0,1,0,0,0,0,0,0,0,0,0,0
7,16.885,-6.9672,71.836,244,0,1,0,0,0,0,0,0,0,0,0,0
8,18.702,59.583,-15.821,168,0,1,0,0,0,0,0,0,0,0,0,0
9,23.058,-20.556,71.758,223,0,1,0,0,0,0,0,0,0,0,0,0
10,0.89796,-7.449,35.031,196,0.4949,0.5051,0,0,0,0,0,0,0,0,0,0
11,61.51,0.051613,10.71,155,0,1,0,0,0,0,0,0,0,0,0,0
12,59.664,2.9922,23.133,256,0,1,0,0,0,0,0,0,0,0,0,0
13,-7.3398,46.427,45.757,206,1,0,0,0,0,0,0,0,0,0,0,0
14,-47.575,8.4016,20.724,254,1,0,0,0,0,0,0,0,0,0,0,0
15,49.228,27.967,-4.8211,246,0,1,0,0,0,0,0,0,0,0,0,0
16,-13.984,23.771,-19.834,253,1,0,0,0,0,0,0,0,0,0,0,0
17,-49.481,28.075,-1.2556,266,1,0,0,0,0,0,0,0,0,0,0,0
18,-6.0078,24.557,45.922,255,1,0,0,0,0,0,0,0,0,0,0,0
19,44.913,0.65505,51.401,287,0,1,0,0,0,0,0,0,0,0,0,0
20,-21.283,12.25,-19.467,184,1,0,0,0,0,0,0,0,0,0,0,0
21,-30.679,-8.1795,64.756,312,1,0,0,0,0,0,0,0,0,0,0,0
22,10.761,46.652,5.3804,184,0,1,0,0,0,0,0,0,0,0,0,0
23,-20.695,15.653,61.676,259,1,0,0,0,0,0,0,0,0,0,0,0
24,-40.301,2.1925,33.975,239,1,0,0,0,0,0,0,0,0,0,0,0
25,-31.012,22.37,-19.119,243,1,0,0,0,0,0,0,0,0,0,0,0
26,10.533,-13.578,43.5,180,0,1,0,0,0,0,0,0,0,0,0,0
27,28.428,23.312,-18.642,215,0,1,0,0,0,0,0,0,0,0,0,0
28,-39.711,53.086,1.8047,256,1,0,0,0,0,0,0,0,0,0,0,0
29,7.4154,27.008,32.977,260,0.0076923,0.99231,0,0,0,0,0,0,0,0,0,0
30,-52.757,-14.365,45.722,230,1,0,0,0,0,0,0,0,0,0,0,0
31,28.774,46.426,20.191,230,0,1,0,0,0,0,0,0,0,0,0,0
32,46.018,-8.0816,43.569,441,0,1,0,0,0,0,0,0,0,0,0,0
33,7.5193,67.116,-0.16309,233,0,1,0,0,0,0,0,0,0,0,0,0
34,5.9115,-17.08,53.593,226,0.039823,0.96018,0,0,0,0,0,0,0,0,0,0
35,-43.323,31.277,22.246,260,1,0,0,0,0,0,0,0,0,0,0,0
36,39.401,-14.889,62.685,324,0,1,0,0,0,0,0,0,0,0,0,0
37,-25.014,14.84,48.95,219,1,0,0,0,0,0,0,0,0,0,0,0
38,42.192,5.3793,38.743,261,0,1,0,0,0,0,0,0,0,0,0,0
39,-36.064,18.096,39.989,187,1,0,0,0,0,0,0,0,0,0,0,0
40,19.418,12.889,-18.825,189,0,1,0,0,0,0,0,0,0,0,0,0
41,-60.328,-6,24.925,201,1,0,0,0,0,0,0,0,0,0,0,0
42,52.079,2.3663,5.3465,202,0,1,0,0,0,0,0,0,0,0,0,0
43,-7.0489,62.151,25.031,225,1,0,0,0,0,0,0,0,0,0,0,0
44,7.8108,66.315,13.694,222,0,1,0,0,0,0,0,0,0,0,0,0
45,-29.539,59.695,-8.0823,243,1,0,0,0,0,0,0,0,0,0,0,0
46,-48.599,13.304,-0.50242,207,1,0,0,0,0,0,0,0,0,0,0,0
47,31.648,33.31,31.441,261,0,1,0,0,0,0,0,0,0,0,0,0
48,-6.9556,39.919,26,270,1,0,0,0,0,0,0,0,0,0,0,0
49,-2.9706,37.235,39.176,204,0.85784,0.14216,0,0,0,0,0,0,0,0,0,0
50,-5.7098,-23.264,59.15,193,1,0,0,0,0,0,0,0,0,0,0,0
51,-58.135,7.7391,18.995,207,1,0,0,0,0,0,0,0,0,0,0,0
52,24.374,24.137,45.168,262,0,1,0,0,0,0,0,0,0,0,0,0
53,7.2927,53.13,-22.033,246,0.004065,0.99593,0,0,0,0,0,0,0,0,0,0
54,33.764,34.879,43.536,280,0,1,0,0,0,0,0,0,0,0,0,0
55,6.3497,54.732,35.738,183,0,1,0,0,0,0,0,0,0,0,0,0
56,6.6667,10.131,53.89,291,0,1,0,0,0,0,0,0,0,0,0,0
57,-23.18,29.473,41.259,205,1,0,0,0,0,0,0,0,0,0,0,0
58,-58.736,-11.56,35.11,182,1,0,0,0,0,0,0,0,0,0,0,0
59,-8.375,13.75,-18.192,208,1,0,0,0,0,0,0,0,0,0,0,0
60,44.112,6.9539,9.4934,304,0,1,0,0,0,0,0,0,0,0,0,0
61,-6.1949,36.635,-7.6968,277,1,0,0,0,0,0,0,0,0,0,0,0
62,33.965,41.498,-12.092,283,0,1,0,0,0,0,0,0,0,0,0,0
63,-28.411,56.973,7.9163,263,1,0,0,0,0,0,0,0,0,0,0,0
64,-38.99,14.753,27.454,194,1,0,0,0,0,0,0,0,0,0,0,0
65,30.386,-5.3937,50.299,254,0,1,0,0,0,0,0,0,0,0,0,0
66,-46.812,37.172,-12.117,239,1,0,0,0,0,0,0,0,0,0,0,0
67,7.0442,46.717,45.664,226,0,1,0,0,0,0,0,0,0,0,0,0
68,-44.669,-1.7621,53.368,269,1,0,0,0,0,0,0,0,0,0,0,0
69,0.94737,5.9211,32.605,228,0.5,0.5,0,0,0,0,0,0,0,0,0,0
70,31.408,59.185,-9.3923,260,0,1,0,0,0,0,0,0,0,0,0,0
71,-6.5659,35.22,54.137,205,1,0,0,0,0,0,0,0,0,0,0,0
72,22.1,17.514,60.456,259,0,1,0,0,0,0,0,0,0,0,0,0
73,-3.9877,32.074,17.481,162,1,0,0,0,0,0,0,0,0,0,0,0
74,-5.1131,-12.986,45.747,221,0.93213,0.067873,0,0,0,0,0,0,0,0,0,0
75,7.7661,23.895,59.5,248,0,1,0,0,0,0,0,0,0,0,0,0
76,-23.992,-11.803,56.016,254,1,0,0,0,0,0,0,0,0,0,0,0
77,7.2,36.127,53.922,205,0,1,0,0,0,0,0,0,0,0,0,0
78,47.279,42.489,2.232,319,0,1,0,0,0,0,0,0,0,0,0,0
79,5.0615,-34,72,179,0.078212,0.92179,0,0,0,0,0,0,0,0,0,0
80,-42.226,24.887,-12.416,221,1,0,0,0,0,0,0,0,0,0,0,0
81,-40.1,49.808,-11.092,240,1,0,0,0,0,0,0,0,0,0,0,0
82,21.505,-11.857,61.477,279,0,1,0,0,0,0,0,0,0,0,0,0
83,-18.238,26.333,55.079,252,1,0,0,0,0,0,0,0,0,0,0,0
84,23.269,34.096,-16.835,249,0,1,0,0,0,0,0,0,0,0,0,0
85,-7.0293,66.678,-1.9582,239,1,0,0,0,0,0,0,0,0,0,0,0
86,-6.6642,-0.18657,43.403,268,1,0,0,0,0,0,0,0,0,0,0,0
87,-10.448,46.388,10.043,232,1,0,0,0,0,0,0,0,0,0,0,0
88,40.038,29.791,-14.9,211,0,1,0,0,0,0,0,0,0,0,0,0
89,6.1688,59.367,24.658,237,0,1,0,0,0,0,0,0,0,0,0,0
90,55.454,4.4096,38.02,293,0,1,0,0,0,0,0,0,0,0,0,0
91,-21.626,-20.272,71.115,235,1,0,0,0,0,0,0,0,0,0,0,0
92,-52.057,31.349,15.321,209,1,0,0,0,0,0,0,0,0,0,0,0
93,-23.845,32.745,-17.209,220,1,0,0,0,0,0,0,0,0,0,0,0
