ROI_number,X_MNI,Y_MNI,Z_MNI,VOL,Frontal_L,Frontal_R,Insula_L,Insula_R,Occipital_L,Occipital_R,Parietal_L,Parietal_R,Subcortical_L,Subcortical_R,Temporal_L,Temporal_R
1,-0.82443,27.183,-14.845,786,0.60941,0.39059,0,0,0,0,0,0,0,0,0,0
2,43.231,12.201,47.894,887,0,1,0,0,0,0,0,0,0,0,0,0
3,-46.289,-12.818,47.67,1562,1,0,0,0,0,0,0,0,0,0,0,0
4,26.474,23.416,50.775,890,0,1,0,0,0,0,0,0,0,0,0,0
5,44.694,39.35,-11.486,634,0,1,0,0,0,0,0,0,0,0,0,0
6,4.3511,-11.805,47.756,769,0.28349,0.71651,0,0,0,0,0,0,0,0,0,0
7,-23.228,31.105,46.846,702,1,0,0,0,0,0,0,0,0,0,0,0
8,55.027,3.7614,13.917,989,0,1,0,0,0,0,0,0,0,0,0,0
9,-53.101,20.556,17.703,701,1,0,0,0,0,0,0,0,0,0,0,0
10,14.168,15.955,-19.275,535,0,1,0,0,0,0,0,0,0,0,0,0
11,-44.099,3.0859,49.44,768,1,0,0,0,0,0,0,0,0,0,0,0
12,7.7708,43.656,16.236,855,0.045614,0.95439,0,0,0,0,0,0,0,0,0,0
13,38.124,31.451,36.359,885,0,1,0,0,0,0,0,0,0,0,0,0
14,28.744,53.045,-11.991,691,0,1,0,0,0,0,0,0,0,0,0,0
15,-31.405,25.696,-17.072,612,1,0,0,0,0,0,0,0,0,0,0,0
16,13.768,10.991,64.894,680,0,1,0,0,0,0,0,0,0,0,0,0
17,-7.621,41.087,-22.274,686,1,0,0,0,0,0,0,0,0,0,0,0
18,-26.672,61.534,0.32095,592,1,0,0,0,0,0,0,0,0,0,0,0
19,11.675,-7.8596,68.7,812,0,1,0,0,0,0,0,0,0,0,0,0
20,-27.547,55.286,19.475,689,1,0,0,0,0,0,0,0,0,0,0,0
21,-9.1843,5.0076,64.103,917,1,0,0,0,0,0,0,0,0,0,0,0
22,8.2527,64.137,8.3744,657,0,1,0,0,0,0,0,0,0,0,0,0
23,53.116,17.543,8.5161,744,0,1,0,0,0,0,0,0,0,0,0,0
24,9.6398,40.199,-22.12,683,0,1,0,0,0,0,0,0,0,0,0,0
25,-44.623,24.316,1.6633,790,1,0,0,0,0,0,0,0,0,0,0,0
26,43.16,-8.1265,52.414,648,0,1,0,0,0,0,0,0,0,0,0,0
27,-7.8047,57.92,27.787,553,1,0,0,0,0,0,0,0,0,0,0,0
28,33.228,49.007,22.328,824,0,1,0,0,0,0,0,0,0,0,0,0
29,28.581,29.578,-16.371,626,0,1,0,0,0,0,0,0,0,0,0,0
30,-5.6438,24.959,32.014,876,0.9726,0.027397,0,0,0,0,0,0,0,0,0,0
31,24.684,-19.956,69.149,956,0,1,0,0,0,0,0,0,0,0,0,0
32,-43.036,37.793,19.353,695,1,0,0,0,0,0,0,0,0,0,0,0
33,6.5474,8.6816,47.763,760,0.061842,0.93816,0,0,0,0,0,0,0,0,0,0
34,42.366,50.585,3.1814,667,0,1,0,0,0,0,0,0,0,0,0,0
35,-5.729,-17.329,62.803,620,1,0,0,0,0,0,0,0,0,0,0,0
36,-41.39,22.171,40.064,817,1,0,0,0,0,0,0,0,0,0,0,0
37,53.387,-2.4059,38.353,675,0,1,0,0,0,0,0,0,0,0,0,0
38,-7.057,45.013,13.733,825,1,0,0,0,0,0,0,0,0,0,0,0
39,-45.941,36.417,-10.222,576,1,0,0,0,0,0,0,0,0,0,0,0
40,-9.8155,45.709,43.408,618,1,0,0,0,0,0,0,0,0,0,0,0
41,47.864,34.272,18.47,839,0,1,0,0,0,0,0,0,0,0,0,0
42,-44.782,7.6843,30.032,887,1,0,0,0,0,0,0,0,0,0,0,0
43,12.585,59.714,27.184,588,0,1,0,0,0,0,0,0,0,0,0,0
44,-18.214,-17.344,70.83,701,1,0,0,0,0,0,0,0,0,0,0,0
45,-30.216,41.227,32.626,693,1,0,0,0,0,0,0,0,0,0,0,0
46,8.8276,29.185,55.558,638,0,1,0,0,0,0,0,0,0,0,0,0
47,9.2665,61.889,-13.078,668,0.031437,0.96856,0,0,0,0,0,0,0,0,0,0
48,-26.899,13.604,56.268,910,1,0,0,0,0,0,0,0,0,0,0,0
49,-42.681,49.073,1.7825,561,1,0,0,0,0,0,0,0,0,0,0,0
50,28.271,0.23303,56.477,884,0,1,0,0,0,0,0,0,0,0,0,0
51,-8.3395,64.131,7.2101,595,1,0,0,0,0,0,0,0,0,0,0,0
52,22.858,44.551,40.012,671,0,1,0,0,0,0,0,0,0,0,0,0
53,45.343,13.31,29.011,934,0,1,0,0,0,0,0,0,0,0,0,0
54,-7.5279,26.266,55.405,699,1,0,0,0,0,0,0,0,0,0,0,0
55,26.014,61.782,6.7853,708,0,1,0,0,0,0,0,0,0,0,0,0
56,-1.3267,-29.826,69.109,1010,0.49406,0.50594,0,0,0,0,0,0,0,0,0,0
57,-29.011,45.849,-13.78,609,1,0,0,0,0,0,0,0,0,0,0,0
58,6.4273,46.535,40.987,557,0.039497,0.9605,0,0,0,0,0,0,0,0,0,0
59,-3.0124,0.90169,38.676,885,0.74689,0.25311,0,0,0,0,0,0,0,0,0,0
