ROI_number,X_MNI,Y_MNI,Z_MNI,VOL,Frontal_L,Frontal_R,Insula_L,Insula_R,Occipital_L,Occipital_R,Parietal_L,Parietal_R,Subcortical_L,Subcortical_R,Temporal_L,Temporal_R
1,61.148,4.7222,28.111,108,0,1,0,0,0,0,0,0,0,0,0,0
2,-54.5,15.585,7.3415,164,1,0,0,0,0,0,0,0,0,0,0,0
3,35.703,38.389,-10.423,175,0,1,0,0,0,0,0,0,0,0,0,0
4,-25.777,-9.0615,68.034,179,1,0,0,0,0,0,0,0,0,0,0,0
5,8.6145,55.759,-1.9277,166,0,1,0,0,0,0,0,0,0,0,0,0
6,-40.371,-18.041,41.113,97,1,0,0,0,0,0,0,0,0,0,0,0
7,-12.137,40.603,-23.233,146,1,0,0,0,0,0,0,0,0,0,0,0
8,7.2284,-6.3147,52.132,197,0,1,0,0,0,0,0,0,0,0,0,0
9,39.426,-11.869,51.525,122,0,1,0,0,0,0,0,0,0,0,0,0
10,-48.218,10.101,-0.60504,119,1,0,0,0,0,0,0,0,0,0,0,0
11,-7.641,28.731,28.372,156,1,0,0,0,0,0,0,0,0,0,0,0
12,44.561,-0.5122,13.317,82,0,1,0,0,0,0,0,0,0,0,0,0
13,35.325,-19.831,68.795,83,0,1,0,0,0,0,0,0,0,0,0,0
14,-34.215,19.273,40.182,121,1,0,0,0,0,0,0,0,0,0,0,0
15,7.4333,57.422,9.7778,180,0,1,0,0,0,0,0,0,0,0,0,0
16,-40.425,30.832,21.027,113,1,0,0,0,0,0,0,0,0,0,0,0
17,58.962,8,7.9615,156,0,1,0,0,0,0,0,0,0,0,0,0
18,-4.825,-41.3,69.875,80,1,0,0,0,0,0,0,0,0,0,0,0
19,42.783,-14.333,60.833,120,0,1,0,0,0,0,0,0,0,0,0,0
20,-24.628,47.851,23.306,121,1,0,0,0,0,0,0,0,0,0,0,0
21,-39.345,23.823,6.9381,113,1,0,0,0,0,0,0,0,0,0,0,0
22,-4.6425,29.886,-15.741,193,0.93782,0.062176,0,0,0,0,0,0,0,0,0,0
23,1.4012,-11.689,43.952,167,0.46108,0.53892,0,0,0,0,0,0,0,0,0,0
24,62.135,-1.6629,9.5955,89,0,1,0,0,0,0,0,0,0,0,0,0
25,24.424,39.565,-14.729,170,0,1,0,0,0,0,0,0,0,0,0,0
26,-5.933,18.659,50.011,179,1,0,0,0,0,0,0,0,0,0,0,0
27,23.58,27.148,43.84,162,0,1,0,0,0,0,0,0,0,0,0,0
28,-28.728,8.8208,48.751,173,1,0,0,0,0,0,0,0,0,0,0,0
29,-28.182,52.6,9.8545,110,1,0,0,0,0,0,0,0,0,0,0,0
30,37.06,9.2771,31.301,83,0,1,0,0,0,0,0,0,0,0,0,0
31,-54.902,-13.398,46.947,133,1,0,0,0,0,0,0,0,0,0,0,0
32,-43.171,30.049,-0.91463,164,1,0,0,0,0,0,0,0,0,0,0,0
33,-5.3553,-18.211,64.592,152,1,0,0,0,0,0,0,0,0,0,0,0
34,32.981,28.46,35.18,161,0,1,0,0,0,0,0,0,0,0,0,0
35,35.551,60.034,-1.4045,178,0,1,0,0,0,0,0,0,0,0,0,0
36,-21.59,42.718,36.821,156,1,0,0,0,0,0,0,0,0,0,0,0
37,47.534,-5.5534,34.485,103,0,1,0,0,0,0,0,0,0,0,0,0
38,6.6729,28.449,43.738,214,0,1,0,0,0,0,0,0,0,0,0,0
39,-36.163,-19.796,67.286,98,1,0,0,0,0,0,0,0,0,0,0,0
40,-22.248,10.938,-19.239,113,1,0,0,0,0,0,0,0,0,0,0,0
41,-45.096,35.669,-14.229,157,1,0,0,0,0,0,0,0,0,0,0,0
42,1.0556,9.9167,29.847,144,0.47917,0.52083,0,0,0,0,0,0,0,0,0,0
43,-49.554,-16.964,41.281,139,1,0,0,0,0,0,0,0,0,0,0,0
44,39.852,24.705,7.2131,122,0,1,0,0,0,0,0,0,0,0,0,0
45,-47.212,9.3782,19.959,193,1,0,0,0,0,0,0,0,0,0,0,0
46,11.185,13.437,66.563,135,0,1,0,0,0,0,0,0,0,0,0,0
47,-8.6174,40.362,19.02,149,1,0,0,0,0,0,0,0,0,0,0,0
48,-8.6667,-23.642,73.654,162,1,0,0,0,0,0,0,0,0,0,0,0
49,-29.007,37.597,28.777,139,1,0,0,0,0,0,0,0,0,0,0,0
50,28.521,46.639,19.882,169,0,1,0,0,0,0,0,0,0,0,0,0
51,6.146,60.438,30.394,137,0,1,0,0,0,0,0,0,0,0,0,0
52,6.7114,52.685,40.201,149,0,1,0,0,0,0,0,0,0,0,0,0
53,-25.949,13.574,59.898,197,1,0,0,0,0,0,0,0,0,0,0,0
54,-38.82,56.029,-6.6043,139,1,0,0,0,0,0,0,0,0,0,0,0
55,50.015,10.135,0.06015,133,0,1,0,0,0,0,0,0,0,0,0,0
56,-39.919,0.37838,35.649,148,1,0,0,0,0,0,0,0,0,0,0,0
57,42.161,24.385,24.087,161,0,1,0,0,0,0,0,0,0,0,0,0
58,29.946,3.3108,52.257,148,0,1,0,0,0,0,0,0,0,0,0,0
59,28.526,26.263,-13.105,114,0,1,0,0,0,0,0,0,0,0,0,0
60,-6.3474,61.221,15.158,190,1,0,0,0,0,0,0,0,0,0,0,0
61,-43.338,15.969,6.2462,130,1,0,0,0,0,0,0,0,0,0,0,0
62,-5.1622,40.811,40.622,148,1,0,0,0,0,0,0,0,0,0,0,0
63,-3.2747,21.648,-10.22,91,0.96703,0.032967,0,0,0,0,0,0,0,0,0,0
64,4.6316,-35.789,71.86,114,0.070175,0.92982,0,0,0,0,0,0,0,0,0,0
65,-8.1538,-12.981,45.442,104,1,0,0,0,0,0,0,0,0,0,0,0
66,41.019,12.942,8.3462,104,0,1,0,0,0,0,0,0,0,0,0,0
67,-29.447,19.972,-21.404,141,1,0,0,0,0,0,0,0,0,0,0,0
68,-25.669,-19.554,71.355,121,1,0,0,0,0,0,0,0,0,0,0,0
69,26.186,15.93,47.407,172,0,1,0,0,0,0,0,0,0,0,0,0
70,-28,59.613,-0.22667,150,1,0,0,0,0,0,0,0,0,0,0,0
71,-11.434,47.579,10.145,152,1,0,0,0,0,0,0,0,0,0,0,0
72,30.224,-5.7414,47.741,116,0,1,0,0,0,0,0,0,0,0,0,0
73,-24.16,34.074,48.16,163,1,0,0,0,0,0,0,0,0,0,0,0
74,-59.126,3.5407,23.23,135,1,0,0,0,0,0,0,0,0,0,0,0
75,41.329,43.804,-15.846,143,0,1,0,0,0,0,0,0,0,0,0,0
76,0.84615,-8.4423,33.615,104,0.49038,0.50962,0,0,0,0,0,0,0,0,0,0
77,-34.293,51.415,18.28,164,1,0,0,0,0,0,0,0,0,0,0,0
78,17.066,63.276,-13.276,152,0,1,0,0,0,0,0,0,0,0,0,0
79,35.413,6.3,60.387,160,0,1,0,0,0,0,0,0,0,0,0,0
