ROI_number,x,y,z,VOL,Frontal_L,Frontal_R,Parietal_L,Parietal_R,Occipital_L,Occipital_R,Temporal_L,Temporal_R,Insula_L,Insula_R,Subcortical_L,Subcortical_R
51,-1.95833333333333,-9,33.9583333333333,48,0.979166666666667,0.020833333333333,0,0,0,0,0,0,0,0,0,0
52,-22.6031746031746,50.0634920634921,24.6031746031746,63,1,0,0,0,0,0,0,0,0,0,0,0
53,-3.71014492753623,29.6811594202899,17.7971014492754,69,1,0,0,0,0,0,0,0,0,0,0,0
54,51.0967741935484,11.1935483870968,-2.48387096774194,62,0,1,0,0,0,0,0,0,0,0,0,0
55,-42.4810126582278,21.9493670886076,-10.6329113924051,79,1,0,0,0,0,0,0,0,0,0,0,0
56,17.03125,12.75,-21.9375,64,0,1,0,0,0,0,0,0,0,0,0,0
57,28,-3.47945205479452,48.0547945205479,73,0,1,0,0,0,0,0,0,0,0,0,0
58,-44.9056603773585,-16.9811320754717,38.2264150943396,53,1,0,0,0,0,0,0,0,0,0,0,0
59,-9.11475409836066,13.672131147541,35.8032786885246,61,1,0,0,0,0,0,0,0,0,0,0,0
60,-5.06060606060606,9.24242424242424,68.8484848484849,66,1,0,0,0,0,0,0,0,0,0,0,0
61,28.9615384615385,46.6153846153846,18.0769230769231,104,0,1,0,0,0,0,0,0,0,0,0,0
62,4.17391304347826,-37.1304347826087,72.2608695652174,69,0.057971014492754,0.942028985507246,0,0,0,0,0,0,0,0,0,0
63,-6.81159420289855,-38.3478260869565,75.0144927536232,69,1,0,0,0,0,0,0,0,0,0,0,0
64,-39.1780821917808,47.0684931506849,0.602739726027397,73,1,0,0,0,0,0,0,0,0,0,0,0
65,2.73684210526316,39.8315789473684,4.52631578947368,95,0.242105263157895,0.757894736842105,0,0,0,0,0,0,0,0,0,0
66,-58.1951219512195,0.024390243902439,29.609756097561,82,1,0,0,0,0,0,0,0,0,0,0,0
67,46.3103448275862,-5.27586206896552,33.2068965517241,58,0,1,0,0,0,0,0,0,0,0,0,0
68,21.6666666666667,38.7142857142857,41.4047619047619,84,0,1,0,0,0,0,0,0,0,0,0,0
69,12.3943661971831,21.9718309859155,-23.5211267605634,71,0,1,0,0,0,0,0,0,0,0,0,0
70,-44.2795698924731,9.50537634408602,21.0537634408602,93,1,0,0,0,0,0,0,0,0,0,0,0
71,19.1836734693878,47.734693877551,33.7551020408163,98,0,1,0,0,0,0,0,0,0,0,0,0
72,-24.4222222222222,44.2222222222222,-15.2,90,1,0,0,0,0,0,0,0,0,0,0,0
73,-21.125,6.60416666666667,68.75,96,1,0,0,0,0,0,0,0,0,0,0,0
74,4.87671232876712,60.1095890410959,31.3972602739726,73,0,1,0,0,0,0,0,0,0,0,0,0
75,9.72631578947368,-1.78947368421053,54.8,95,0,1,0,0,0,0,0,0,0,0,0,0
76,-41.8684210526316,34.7894736842105,16.2105263157895,76,1,0,0,0,0,0,0,0,0,0,0,0
77,-4.94736842105263,53.6842105263158,39.6842105263158,76,1,0,0,0,0,0,0,0,0,0,0,0
78,-43.1868131868132,19.0769230769231,0.43956043956044,91,1,0,0,0,0,0,0,0,0,0,0,0
79,4.08333333333333,12.3888888888889,27.9444444444444,72,0,1,0,0,0,0,0,0,0,0,0,0
80,38.5225225225225,6.3963963963964,59.0810810810811,111,0,1,0,0,0,0,0,0,0,0,0,0
81,33.3904761904762,44.6857142857143,-15.3904761904762,105,0,1,0,0,0,0,0,0,0,0,0,0
82,-7.94736842105263,15.7368421052632,-21.6578947368421,76,1,0,0,0,0,0,0,0,0,0,0,0
83,-21.25,-24.6666666666667,61.75,48,1,0,0,0,0,0,0,0,0,0,0,0
84,-26.4507042253521,-21.3802816901408,70.3943661971831,71,1,0,0,0,0,0,0,0,0,0,0,0
85,13.2105263157895,-15.3684210526316,43.421052631579,76,0,1,0,0,0,0,0,0,0,0,0,0
86,-36.1720430107527,40.0860215053763,23.8494623655914,93,1,0,0,0,0,0,0,0,0,0,0,0
87,19.4545454545455,-24.9090909090909,68.5714285714286,77,0,1,0,0,0,0,0,0,0,0,0,0
88,39.5151515151515,37.4141414141414,18.5454545454545,99,0,1,0,0,0,0,0,0,0,0,0,0
89,4.98484848484848,57.4545454545455,-11.030303030303,132,0.113636363636364,0.886363636363636,0,0,0,0,0,0,0,0,0,0
90,-36.1636363636364,49.4181818181818,-12.6545454545455,110,1,0,0,0,0,0,0,0,0,0,0,0
91,-5.72727272727273,-25.4848484848485,57.3939393939394,66,1,0,0,0,0,0,0,0,0,0,0,0
92,-32.9382716049383,19.6543209876543,39.6296296296296,81,1,0,0,0,0,0,0,0,0,0,0,0
93,42.2962962962963,26.8148148148148,-14.0740740740741,81,0,1,0,0,0,0,0,0,0,0,0,0
94,17.7846153846154,-7.64615384615385,62.5076923076923,130,0,1,0,0,0,0,0,0,0,0,0,0
95,-39.4838709677419,19.258064516129,27,62,1,0,0,0,0,0,0,0,0,0,0,0
96,38.3653846153846,17.3076923076923,54.8846153846154,104,0,1,0,0,0,0,0,0,0,0,0,0
97,-19.5714285714286,11,-22.1071428571429,56,1,0,0,0,0,0,0,0,0,0,0,0
98,-18.5,-11.2857142857143,57.6904761904762,84,1,0,0,0,0,0,0,0,0,0,0,0
99,-2.89230769230769,15.4461538461538,28,65,1,0,0,0,0,0,0,0,0,0,0,0
100,-56.7435897435897,6,2.71794871794872,78,1,0,0,0,0,0,0,0,0,0,0,0
101,-12.4848484848485,49.5454545454546,7.96969696969697,66,1,0,0,0,0,0,0,0,0,0,0,0
102,-5.22077922077922,47.8181818181818,46.7012987012987,77,1,0,0,0,0,0,0,0,0,0,0,0
103,56.8032786885246,17.6229508196721,11.7868852459016,122,0,1,0,0,0,0,0,0,0,0,0,0
104,10.5052631578947,51.5578947368421,9.36842105263158,95,0,1,0,0,0,0,0,0,0,0,0,0
105,48.1458333333333,20.5208333333333,-2.16666666666667,96,0,1,0,0,0,0,0,0,0,0,0,0
106,-60.9836065573771,-13.8360655737705,35.6393442622951,61,1,0,0,0,0,0,0,0,0,0,0,0
107,3.86301369863014,42.6849315068493,48.4383561643836,73,0,1,0,0,0,0,0,0,0,0,0,0
108,49.3626373626374,-8.63736263736264,54.3296703296703,91,0,1,0,0,0,0,0,0,0,0,0,0
109,-16.1363636363636,-32.2272727272727,65.4090909090909,44,1,0,0,0,0,0,0,0,0,0,0,0
110,31.5049504950495,51.3663366336634,10.6336633663366,101,0,1,0,0,0,0,0,0,0,0,0,0
111,-50.5060240963855,7.2289156626506,9.03614457831325,83,1,0,0,0,0,0,0,0,0,0,0,0
112,13.6438356164384,18.1369863013699,-16.5205479452055,73,0,1,0,0,0,0,0,0,0,0,0,0
113,-21.816091954023,43.0804597701149,34.2068965517241,87,1,0,0,0,0,0,0,0,0,0,0,0
114,4.46153846153846,23.6923076923077,21.5384615384615,78,0,1,0,0,0,0,0,0,0,0,0,0
115,22.5,14.6774193548387,54.7258064516129,124,0,1,0,0,0,0,0,0,0,0,0,0
116,-6.70103092783505,63.2371134020619,24.7628865979381,97,1,0,0,0,0,0,0,0,0,0,0,0
117,-46.1869158878505,13.588785046729,28.8598130841121,107,1,0,0,0,0,0,0,0,0,0,0,0
118,-4.49484536082474,37.1546391752577,-1.42268041237113,97,1,0,0,0,0,0,0,0,0,0,0,0
119,-1.85185185185185,-0.962962962962963,32.7777777777778,54,0.925925925925926,0.074074074074074,0,0,0,0,0,0,0,0,0,0
120,50.5137614678899,6.78899082568807,26.4403669724771,109,0,1,0,0,0,0,0,0,0,0,0,0
121,1.24731182795699,26.6666666666667,-25.1397849462366,93,0.483870967741936,0.516129032258065,0,0,0,0,0,0,0,0,0,0
122,26.3958333333333,27.9583333333333,41.0625,96,0,1,0,0,0,0,0,0,0,0,0,0
123,-50.8860759493671,-11.5189873417722,50.6075949367089,79,1,0,0,0,0,0,0,0,0,0,0,0
124,-35.8260869565217,27.4782608695652,2.60869565217391,46,1,0,0,0,0,0,0,0,0,0,0,0
125,10.1538461538462,10.1538461538462,-17.3846153846154,65,0,1,0,0,0,0,0,0,0,0,0,0
126,26.2962962962963,-9.65432098765432,53.6296296296296,81,0,1,0,0,0,0,0,0,0,0,0,0
127,-39.5443037974684,30.2278481012658,22.1772151898734,79,1,0,0,0,0,0,0,0,0,0,0,0
128,-34.2307692307692,-5.97435897435897,46.5128205128205,78,1,0,0,0,0,0,0,0,0,0,0,0
129,14.0168067226891,23.563025210084,59.1932773109244,119,0,1,0,0,0,0,0,0,0,0,0,0
130,34.8627450980392,35.3725490196078,27.4117647058824,102,0,1,0,0,0,0,0,0,0,0,0,0
131,24.2528735632184,62.2068965517241,-13.3563218390805,87,0,1,0,0,0,0,0,0,0,0,0,0
132,-27.0769230769231,56.8205128205128,-0.692307692307692,78,1,0,0,0,0,0,0,0,0,0,0,0
133,6.72727272727273,32.9421487603306,45.900826446281,121,0,1,0,0,0,0,0,0,0,0,0,0
134,-39.0961538461538,18.4230769230769,48.4038461538462,104,1,0,0,0,0,0,0,0,0,0,0,0
135,-5.36111111111111,34.0555555555556,56.8333333333333,72,1,0,0,0,0,0,0,0,0,0,0,0
136,-6.04255319148936,-0.25531914893617,55.7234042553191,94,1,0,0,0,0,0,0,0,0,0,0,0
137,-4.9375,15.96875,-15.25,64,1,0,0,0,0,0,0,0,0,0,0,0
138,-39.0545454545455,19.1636363636364,8.61818181818182,55,1,0,0,0,0,0,0,0,0,0,0,0
139,43.7647058823529,41.4588235294118,-16.1647058823529,85,0,1,0,0,0,0,0,0,0,0,0,0
140,35.7777777777778,9.7037037037037,32.2962962962963,54,0,1,0,0,0,0,0,0,0,0,0,0
141,-17.0238095238095,22.3809523809524,53.3095238095238,84,1,0,0,0,0,0,0,0,0,0,0,0
142,4.63013698630137,66.7123287671233,14.3013698630137,73,0,1,0,0,0,0,0,0,0,0,0,0
143,-3.1340206185567,38.020618556701,11.8350515463918,97,1,0,0,0,0,0,0,0,0,0,0,0
144,-13.8028169014085,-32.1408450704225,75.2112676056338,71,1,0,0,0,0,0,0,0,0,0,0,0
145,54.1284403669725,33.8899082568807,5.76146788990826,109,0,1,0,0,0,0,0,0,0,0,0,0
146,-40.8611111111111,40.2777777777778,9.94444444444444,72,1,0,0,0,0,0,0,0,0,0,0,0
147,27.1636363636364,22.3272727272727,-14.9090909090909,55,0,1,0,0,0,0,0,0,0,0,0,0
148,-20.1505376344086,34.6666666666667,41.0537634408602,93,1,0,0,0,0,0,0,0,0,0,0,0
149,-31.8958333333333,38.5208333333333,-11.6041666666667,96,1,0,0,0,0,0,0,0,0,0,0,0
150,-56.6086956521739,9.32608695652174,29.3695652173913,92,1,0,0,0,0,0,0,0,0,0,0,0
151,-4.52173913043478,65.9565217391304,-7.58695652173913,92,1,0,0,0,0,0,0,0,0,0,0,0
152,42.8636363636364,-13.7954545454545,54.8863636363636,88,0,1,0,0,0,0,0,0,0,0,0,0
153,3.07894736842105,24.0789473684211,-8.68421052631579,76,0.171052631578947,0.828947368421053,0,0,0,0,0,0,0,0,0,0
154,24.3440860215054,56.7311827956989,15.7634408602151,93,0,1,0,0,0,0,0,0,0,0,0,0
155,27.5632183908046,-14.2758620689655,60.8275862068966,87,0,1,0,0,0,0,0,0,0,0,0,0
156,-54.7826086956522,-3.1304347826087,14.6666666666667,69,1,0,0,0,0,0,0,0,0,0,0,0
157,31.6494845360825,62.8041237113402,-7.17525773195876,97,0,1,0,0,0,0,0,0,0,0,0,0
158,39.775,19.25,7.3,80,0,1,0,0,0,0,0,0,0,0,0,0
159,1.32330827067669,15.1578947368421,36.7218045112782,133,0.458646616541353,0.541353383458647,0,0,0,0,0,0,0,0,0,0
160,21.3504273504273,8.30769230769231,67.3333333333333,117,0,1,0,0,0,0,0,0,0,0,0,0
161,-12.1521739130435,32.5652173913044,-23.7608695652174,92,1,0,0,0,0,0,0,0,0,0,0,0
162,-45,-18.448275862069,46.8965517241379,58,1,0,0,0,0,0,0,0,0,0,0,0
163,-19.6831683168317,43.0495049504951,44.019801980198,101,1,0,0,0,0,0,0,0,0,0,0,0
164,-8.42696629213483,-8.26966292134832,50.247191011236,89,1,0,0,0,0,0,0,0,0,0,0,0
165,40.2068965517241,22.5747126436782,24.8735632183908,87,0,1,0,0,0,0,0,0,0,0,0,0
166,50.1481481481481,-10.8888888888889,45.1851851851852,54,0,1,0,0,0,0,0,0,0,0,0,0
167,-49.7954545454545,-3.79545454545455,35.75,88,1,0,0,0,0,0,0,0,0,0,0,0
168,-6.21052631578947,54.8947368421053,23.7017543859649,114,1,0,0,0,0,0,0,0,0,0,0,0
169,61.0697674418605,7.65116279069768,9.30232558139535,86,0,1,0,0,0,0,0,0,0,0,0,0
170,23.2452830188679,55.7358490566038,31.1320754716981,106,0,1,0,0,0,0,0,0,0,0,0,0
171,-23.7948717948718,-5.04273504273504,60.0854700854701,117,1,0,0,0,0,0,0,0,0,0,0,0
172,-26.6666666666667,44.3333333333333,24.1212121212121,66,1,0,0,0,0,0,0,0,0,0,0,0
173,37.0454545454545,-5.40909090909091,45.3181818181818,88,0,1,0,0,0,0,0,0,0,0,0,0
174,13.14,33.48,56.28,100,0,1,0,0,0,0,0,0,0,0,0,0
175,-35.5882352941176,15.7254901960784,56.3921568627451,102,1,0,0,0,0,0,0,0,0,0,0,0
176,5.3265306122449,61.8163265306122,22.5510204081633,98,0,1,0,0,0,0,0,0,0,0,0,0
177,-48.314606741573,35.752808988764,-13.3033707865169,89,1,0,0,0,0,0,0,0,0,0,0,0
178,-8.63736263736264,29.3186813186813,27.8241758241758,91,1,0,0,0,0,0,0,0,0,0,0,0
179,5.53086419753086,-8.07407407407407,71.5555555555556,81,0,1,0,0,0,0,0,0,0,0,0,0
180,-39.9090909090909,7.20454545454545,42.6590909090909,88,1,0,0,0,0,0,0,0,0,0,0,0
181,9.91752577319588,51.2783505154639,-5.05154639175258,97,0,1,0,0,0,0,0,0,0,0,0,0
182,36.3606557377049,47.0983606557377,27.5737704918033,122,0,1,0,0,0,0,0,0,0,0,0,0
183,-22.5192307692308,14.4230769230769,54.0769230769231,104,1,0,0,0,0,0,0,0,0,0,0,0
184,-31.6981132075472,61.6037735849057,3.9811320754717,106,1,0,0,0,0,0,0,0,0,0,0,0
185,-4.96907216494845,-16.7628865979381,73.340206185567,97,1,0,0,0,0,0,0,0,0,0,0,0
186,12.8,27.5,-16.825,80,0,1,0,0,0,0,0,0,0,0,0,0
187,2.22680412371134,43.9587628865979,-25.7731958762887,97,0.360824742268041,0.639175257731959,0,0,0,0,0,0,0,0,0,0
188,5.29411764705882,-15.7058823529412,57.5294117647059,102,0.03921568627451,0.96078431372549,0,0,0,0,0,0,0,0,0,0
189,-4.03603603603604,60.4324324324324,-18.7027027027027,111,1,0,0,0,0,0,0,0,0,0,0,0
190,53.7402597402597,-1.50649350649351,28.987012987013,77,0,1,0,0,0,0,0,0,0,0,0,0
191,-5.15789473684211,25.4526315789474,60.9473684210526,95,1,0,0,0,0,0,0,0,0,0,0,0
192,47.1525423728814,32.7796610169492,0.949152542372881,118,0,1,0,0,0,0,0,0,0,0,0,0
193,-8.74509803921569,37.7254901960784,20.1960784313725,102,1,0,0,0,0,0,0,0,0,0,0,0
194,-23.1875,35,-13.6875,64,1,0,0,0,0,0,0,0,0,0,0,0
195,-20.6885245901639,-26.6885245901639,74.0655737704918,61,1,0,0,0,0,0,0,0,0,0,0,0
196,-13.0537634408602,57.3548387096774,34.3440860215054,93,1,0,0,0,0,0,0,0,0,0,0,0
197,21.6969696969697,-18.3636363636364,74.1515151515152,66,0,1,0,0,0,0,0,0,0,0,0,0
198,44.4210526315789,3.71929824561403,12.8421052631579,57,0,1,0,0,0,0,0,0,0,0,0,0
199,-56.4077669902913,16.8155339805825,7.63106796116505,103,1,0,0,0,0,0,0,0,0,0,0,0
200,24.3333333333333,37.8823529411765,-17.5294117647059,102,0,1,0,0,0,0,0,0,0,0,0,0
201,56.0208333333333,8.72916666666667,35.2708333333333,96,0,1,0,0,0,0,0,0,0,0,0,0
202,-23.1136363636364,0.5,51.9090909090909,88,1,0,0,0,0,0,0,0,0,0,0,0
203,5.375,32.4,15.775,80,0,1,0,0,0,0,0,0,0,0,0,0
204,-5.93684210526316,31.9157894736842,-9.66315789473684,95,1,0,0,0,0,0,0,0,0,0,0,0
205,-9.50561797752809,8.98876404494382,52.1797752808989,89,1,0,0,0,0,0,0,0,0,0,0,0
206,6.72463768115942,34.7826086956522,-10.6666666666667,69,0,1,0,0,0,0,0,0,0,0,0,0
207,5.4390243902439,1.80487804878049,69.6829268292683,82,0,1,0,0,0,0,0,0,0,0,0,0
208,-37.3333333333333,-7.31372549019608,62.4705882352941,102,1,0,0,0,0,0,0,0,0,0,0,0
209,-49.8666666666667,-1.65333333333333,5.78666666666667,75,1,0,0,0,0,0,0,0,0,0,0,0
210,4.63917525773196,3.81443298969072,59.7938144329897,97,0,1,0,0,0,0,0,0,0,0,0,0
211,-33.672131147541,26.7540983606557,-10.1967213114754,61,1,0,0,0,0,0,0,0,0,0,0,0
212,4.91089108910891,51.9009900990099,35.7623762376238,101,0,1,0,0,0,0,0,0,0,0,0,0
213,34.8333333333333,28.4814814814815,33.7037037037037,108,0,1,0,0,0,0,0,0,0,0,0,0
214,50.2,28.82,-7.88,100,0,1,0,0,0,0,0,0,0,0,0,0
215,-3.64705882352941,-33.5882352941176,66.1176470588235,68,1,0,0,0,0,0,0,0,0,0,0,0
216,-40.7551020408163,33.3265306122449,34.6734693877551,98,1,0,0,0,0,0,0,0,0,0,0,0
217,44.7441860465116,-13.1162790697674,40.4186046511628,43,0,1,0,0,0,0,0,0,0,0,0,0
218,5.58241758241758,60.967032967033,-19.6263736263736,91,0,1,0,0,0,0,0,0,0,0,0,0
219,-40.156862745098,10.7450980392157,8.70588235294118,51,1,0,0,0,0,0,0,0,0,0,0,0
220,-9.26027397260274,-3.97260273972603,41.0958904109589,73,1,0,0,0,0,0,0,0,0,0,0,0
221,39.6831683168317,4.87128712871287,38.1188118811881,101,0,1,0,0,0,0,0,0,0,0,0,0
222,-10.6769230769231,9.96923076923077,-17.1384615384615,65,1,0,0,0,0,0,0,0,0,0,0,0
223,-7.82857142857143,45.1047619047619,24.952380952381,105,1,0,0,0,0,0,0,0,0,0,0,0
224,9,8.45454545454546,40.8409090909091,88,0,1,0,0,0,0,0,0,0,0,0,0
225,44.4761904761905,50.9333333333333,7.61904761904762,105,0,1,0,0,0,0,0,0,0,0,0,0
226,-49.8333333333333,3.6875,28.4166666666667,96,1,0,0,0,0,0,0,0,0,0,0,0
227,-12.6666666666667,0.688172043010753,72,93,1,0,0,0,0,0,0,0,0,0,0,0
228,-47.030303030303,42.3232323232323,-7.33333333333333,99,1,0,0,0,0,0,0,0,0,0,0,0
229,-0.654545454545455,49.6242424242424,-3.17575757575758,165,0.678787878787879,0.321212121212121,0,0,0,0,0,0,0,0,0,0
230,25.5263157894737,21.280701754386,46.8421052631579,114,0,1,0,0,0,0,0,0,0,0,0,0
231,-27.6451612903226,21.5806451612903,-23.1612903225806,62,1,0,0,0,0,0,0,0,0,0,0,0
232,-53.7894736842105,27.8070175438596,6.43859649122807,114,1,0,0,0,0,0,0,0,0,0,0,0
233,24.6122448979592,-0.306122448979592,69.1224489795918,98,0,1,0,0,0,0,0,0,0,0,0,0
234,-41.5445544554455,-0.198019801980198,47.960396039604,101,1,0,0,0,0,0,0,0,0,0,0,0
235,-10.05,66.475,17.375,80,1,0,0,0,0,0,0,0,0,0,0,0
236,-5.92307692307692,66.9230769230769,0.942307692307692,104,1,0,0,0,0,0,0,0,0,0,0,0
237,59.4901960784314,10.6274509803922,19.8627450980392,102,0,1,0,0,0,0,0,0,0,0,0,0
238,-46.5,23.94,23.58,100,1,0,0,0,0,0,0,0,0,0,0,0
239,-38.3333333333333,56.7692307692308,-6.15384615384615,78,1,0,0,0,0,0,0,0,0,0,0,0
240,12.36,69.28,8.76,100,0,1,0,0,0,0,0,0,0,0,0,0
241,5.49019607843137,24.4117647058823,61.5098039215686,102,0.019607843137255,0.980392156862745,0,0,0,0,0,0,0,0,0,0
242,-39.7021276595745,26.2553191489362,7.23404255319149,47,1,0,0,0,0,0,0,0,0,0,0,0
243,-11.2941176470588,-36.9117647058824,68.8823529411765,68,1,0,0,0,0,0,0,0,0,0,0,0
244,30.2698412698413,41.5238095238095,-9.12698412698413,126,0,1,0,0,0,0,0,0,0,0,0,0
245,-45.0684931506849,-14.027397260274,57.2876712328767,73,1,0,0,0,0,0,0,0,0,0,0,0
246,27.2991452991453,43.6923076923077,26.5641025641026,117,0,1,0,0,0,0,0,0,0,0,0,0
247,-5.32110091743119,16.2752293577982,53.9082568807339,109,1,0,0,0,0,0,0,0,0,0,0,0
248,10.0909090909091,24.2727272727273,34.1818181818182,88,0,1,0,0,0,0,0,0,0,0,0,0
249,40.7747747747748,4.79279279279279,48.2882882882883,111,0,1,0,0,0,0,0,0,0,0,0,0
250,11.6470588235294,-33.4117647058824,76.1960784313726,51,0,1,0,0,0,0,0,0,0,0,0,0
251,-43.6315789473684,44.3947368421053,-15.1052631578947,76,1,0,0,0,0,0,0,0,0,0,0,0
252,13.7857142857143,43.7857142857143,15.4285714285714,84,0,1,0,0,0,0,0,0,0,0,0,0
253,-5.96610169491525,-17.3728813559322,59.864406779661,118,1,0,0,0,0,0,0,0,0,0,0,0
254,-61.2307692307692,2.53846153846154,20.7179487179487,78,1,0,0,0,0,0,0,0,0,0,0,0
255,13.2954545454545,-13.9318181818182,74.75,88,0,1,0,0,0,0,0,0,0,0,0,0
256,38.5769230769231,-5.90384615384615,62,104,0,1,0,0,0,0,0,0,0,0,0,0
257,55.8166666666667,27.7166666666667,14.0666666666667,120,0,1,0,0,0,0,0,0,0,0,0,0
258,-30.5277777777778,21.6111111111111,-15.25,72,1,0,0,0,0,0,0,0,0,0,0,0
259,-26.1923076923077,34.8461538461538,47.5576923076923,104,1,0,0,0,0,0,0,0,0,0,0,0
260,-4.89130434782609,50.4347826086956,-24.8695652173913,92,1,0,0,0,0,0,0,0,0,0,0,0
261,47.2266666666667,34.16,-14.3733333333333,75,0,1,0,0,0,0,0,0,0,0,0,0
262,-3.39285714285714,22.3214285714286,23.5357142857143,56,1,0,0,0,0,0,0,0,0,0,0,0
