ROI_number,x,y,z,VOL,Frontal_L,Frontal_R,Parietal_L,Parietal_R,Occipital_L,Occipital_R,Temporal_L,Temporal_R,Insula_L,Insula_R,Subcortical_L,Subcortical_R
1,38.5094339622642,59.9056603773585,2.0377358490566,106,0,1,0,0,0,0,0,0,0,0,0,0
2,19.1071428571429,-30.8928571428571,74.7857142857143,56,0,1,0,0,0,0,0,0,0,0,0,0
3,32.9032258064516,29.741935483871,-3.16129032258064,62,0,1,0,0,0,0,0,0,0,0,0,0
4,7.70542635658915,59.2713178294574,-0.542635658914729,129,0,1,0,0,0,0,0,0,0,0,0,0
5,-21.25,15.5833333333333,63.4166666666667,96,1,0,0,0,0,0,0,0,0,0,0,0
6,8.43010752688172,-0.064516129032258,44.2795698924731,93,0,1,0,0,0,0,0,0,0,0,0,0
7,-44,28.025641025641,-15.1794871794872,78,1,0,0,0,0,0,0,0,0,0,0,0
8,53,-7.59090909090909,38.2045454545455,88,0,1,0,0,0,0,0,0,0,0,0,0
9,-35.6521739130435,11.2753623188406,27.3333333333333,69,1,0,0,0,0,0,0,0,0,0,0,0
10,-44.6153846153846,-3.02564102564103,13.8974358974359,39,1,0,0,0,0,0,0,0,0,0,0,0
11,22.7333333333333,5.24444444444444,52.8,90,0,1,0,0,0,0,0,0,0,0,0,0
12,5.2987012987013,-29.6103896103896,65.6103896103896,77,0.012987012987013,0.987012987012987,0,0,0,0,0,0,0,0,0,0
13,63.1153846153846,-2.42307692307692,8.76923076923077,52,0,1,0,0,0,0,0,0,0,0,0,0
14,28.1121495327103,36.2990654205607,33.8504672897196,107,0,1,0,0,0,0,0,0,0,0,0,0
15,-8.90384615384615,42.9807692307692,-8.36538461538462,104,1,0,0,0,0,0,0,0,0,0,0,0
16,20.1612903225806,11.4516129032258,-16.1612903225806,62,0,1,0,0,0,0,0,0,0,0,0,0
17,12.9354838709677,-32.741935483871,69.1612903225806,62,0,1,0,0,0,0,0,0,0,0,0,0
18,-26.8,14.6,-20.3,60,1,0,0,0,0,0,0,0,0,0,0,0
19,-30.5555555555556,-26.3333333333333,54.8518518518519,54,1,0,0,0,0,0,0,0,0,0,0,0
20,-29.0769230769231,33.7582417582418,35.4725274725275,91,1,0,0,0,0,0,0,0,0,0,0,0
21,62.7368421052632,1.81578947368421,15.7631578947368,76,0,1,0,0,0,0,0,0,0,0,0,0
22,-26.1075268817204,-9.95698924731183,50.7741935483871,93,1,0,0,0,0,0,0,0,0,0,0,0
23,20.4077669902913,29.126213592233,47.8834951456311,103,0,1,0,0,0,0,0,0,0,0,0,0
24,-44.353982300885,32.7079646017699,1.45132743362832,113,1,0,0,0,0,0,0,0,0,0,0,0
25,35.8245614035088,15.4385964912281,27.2982456140351,57,0,1,0,0,0,0,0,0,0,0,0,0
26,-4.10714285714286,-9.60714285714286,42.1071428571429,56,1,0,0,0,0,0,0,0,0,0,0,0
27,-20.1153846153846,9.69230769230769,-16.1538461538462,52,1,0,0,0,0,0,0,0,0,0,0,0
28,4.77611940298507,17.3134328358209,-15.8805970149254,67,0.014925373134328,0.985074626865672,0,0,0,0,0,0,0,0,0,0
29,-7.65656565656566,37.2525252525253,31.8383838383838,99,1,0,0,0,0,0,0,0,0,0,0,0
30,-37.7176470588235,41.5764705882353,31.9529411764706,85,1,0,0,0,0,0,0,0,0,0,0,0
31,46.8301886792453,12.0566037735849,4.58490566037736,106,0,1,0,0,0,0,0,0,0,0,0,0
32,-51.1836734693878,-18.8163265306122,43.7142857142857,49,1,0,0,0,0,0,0,0,0,0,0,0
33,11.1685393258427,37.6179775280899,21.6404494382022,89,0,1,0,0,0,0,0,0,0,0,0,0
34,27.7066666666667,-17.5733333333333,69.68,75,0,1,0,0,0,0,0,0,0,0,0,0
35,-45.3888888888889,-7.55555555555556,8.16666666666667,36,1,0,0,0,0,0,0,0,0,0,0,0
36,-35.1785714285714,-21.1785714285714,68.6071428571429,56,1,0,0,0,0,0,0,0,0,0,0,0
37,12.5233644859813,15.8317757009346,65.1214953271028,107,0,1,0,0,0,0,0,0,0,0,0,0
38,-40.4935064935065,-1.4025974025974,36.3636363636364,77,1,0,0,0,0,0,0,0,0,0,0,0
39,45.3488372093023,-3.44186046511628,13.1627906976744,43,0,1,0,0,0,0,0,0,0,0,0,0
40,31.5064935064935,24.3116883116883,-20.6493506493506,77,0,1,0,0,0,0,0,0,0,0,0,0
41,-23.5333333333333,61.7555555555556,-12.0888888888889,90,1,0,0,0,0,0,0,0,0,0,0,0
42,40.2539682539683,-12.6984126984127,47.3650793650794,63,0,1,0,0,0,0,0,0,0,0,0,0
43,-34.3037974683544,47.1898734177215,15.3924050632911,79,1,0,0,0,0,0,0,0,0,0,0,0
44,5.34736842105263,-21.3473684210526,66.5684210526316,95,0.08421052631579,0.91578947368421,0,0,0,0,0,0,0,0,0,0
45,-3.70909090909091,21.9272727272727,-8.72727272727273,55,1,0,0,0,0,0,0,0,0,0,0,0
46,-26.8484848484848,6.63636363636364,47.0909090909091,66,1,0,0,0,0,0,0,0,0,0,0,0
47,39.768115942029,26.9275362318841,7.47826086956522,69,0,1,0,0,0,0,0,0,0,0,0,0
48,-33.1428571428571,-20.7142857142857,50.7619047619048,42,1,0,0,0,0,0,0,0,0,0,0,0
49,31.8315789473684,56.5684210526316,0.421052631578947,95,0,1,0,0,0,0,0,0,0,0,0,0
50,42.1684210526316,9.83157894736842,25.3052631578947,95,0,1,0,0,0,0,0,0,0,0,0,0
