ROI_number,X_MNI,Y_MNI,Z_MNI,VOL,Frontal_L,Frontal_R,Insula_L,Insula_R,Occipital_L,Occipital_R,Parietal_L,Parietal_R,Subcortical_L,Subcortical_R,Temporal_L,Temporal_R
1,-24.821,33.002,42.883,419,1,0,0,0,0,0,0,0,0,0,0,0
2,17.811,30.843,-19.265,370,0,1,0,0,0,0,0,0,0,0,0,0
3,-6.739,7.7361,40.393,341,1,0,0,0,0,0,0,0,0,0,0,0
4,-46.256,29.897,22.739,406,1,0,0,0,0,0,0,0,0,0,0,0
5,53.008,14.766,32.848,363,0,1,0,0,0,0,0,0,0,0,0,0
6,-53.196,-11.683,44.551,341,1,0,0,0,0,0,0,0,0,0,0,0
7,7.0268,24.141,39.616,411,0.019465,0.98054,0,0,0,0,0,0,0,0,0,0
8,-44.808,40.039,12.143,307,1,0,0,0,0,0,0,0,0,0,0,0
9,-20.283,-16.021,70.43,381,1,0,0,0,0,0,0,0,0,0,0,0
10,-53.394,8.7029,3.0114,350,1,0,0,0,0,0,0,0,0,0,0,0
11,47.727,-0.048193,9.2771,249,0,1,0,0,0,0,0,0,0,0,0,0
12,2.1292,31.121,-23.473,387,0.4186,0.5814,0,0,0,0,0,0,0,0,0,0
13,-29.108,51.273,-12.832,399,1,0,0,0,0,0,0,0,0,0,0,0
14,36.732,18.119,53.155,336,0,1,0,0,0,0,0,0,0,0,0,0
15,6.7098,64.565,-2.4093,386,0.028497,0.9715,0,0,0,0,0,0,0,0,0,0
16,21.013,14.726,-19.489,223,0,1,0,0,0,0,0,0,0,0,0,0
17,-49.304,37.696,-1.9051,316,1,0,0,0,0,0,0,0,0,0,0,0
18,-7.4483,-20.414,73.285,319,1,0,0,0,0,0,0,0,0,0,0,0
19,-39.405,-14.758,60.758,467,1,0,0,0,0,0,0,0,0,0,0,0
20,-40.664,2.8456,34.852,298,1,0,0,0,0,0,0,0,0,0,0,0
21,24.8,-23.446,70.331,495,0,1,0,0,0,0,0,0,0,0,0,0
22,53.98,27.447,8.3032,409,0,1,0,0,0,0,0,0,0,0,0,0
23,-5.8725,26.133,29.194,345,1,0,0,0,0,0,0,0,0,0,0,0
24,-5.878,-37.358,71.065,246,1,0,0,0,0,0,0,0,0,0,0,0
25,40.911,12.537,27.689,380,0,1,0,0,0,0,0,0,0,0,0,0
26,31.202,35.298,32.207,396,0,1,0,0,0,0,0,0,0,0,0,0
27,-25.977,6.8,50.693,355,1,0,0,0,0,0,0,0,0,0,0,0
28,-59.888,-1.5789,16.605,304,1,0,0,0,0,0,0,0,0,0,0,0
29,20.724,22.184,59.026,392,0,1,0,0,0,0,0,0,0,0,0,0
30,-6.4471,46.109,43.16,331,1,0,0,0,0,0,0,0,0,0,0,0
31,7.541,59.344,-18.071,366,0.051913,0.94809,0,0,0,0,0,0,0,0,0,0
32,7.6881,36.081,53.159,295,0.013559,0.98644,0,0,0,0,0,0,0,0,0,0
33,-59.326,-9.1685,31.348,279,1,0,0,0,0,0,0,0,0,0,0,0
34,-44.214,6.8992,7.479,476,1,0,0,0,0,0,0,0,0,0,0,0
35,58.414,2.9745,26.895,353,0,1,0,0,0,0,0,0,0,0,0,0
36,9.3659,-3.7182,68.802,369,0,1,0,0,0,0,0,0,0,0,0,0
37,-48.399,18.027,35.676,376,1,0,0,0,0,0,0,0,0,0,0,0
38,31.018,27.457,-16.89,328,0,1,0,0,0,0,0,0,0,0,0,0
39,-7.6667,63.222,16.074,324,1,0,0,0,0,0,0,0,0,0,0,0
40,47.493,27.738,24.996,450,0,1,0,0,0,0,0,0,0,0,0,0
41,-24.168,-11.162,56.811,370,1,0,0,0,0,0,0,0,0,0,0,0
42,40.363,41.039,31.142,408,0,1,0,0,0,0,0,0,0,0,0,0
43,-30.675,56.358,9.3015,335,1,0,0,0,0,0,0,0,0,0,0,0
44,-21.795,13.744,-20.009,234,1,0,0,0,0,0,0,0,0,0,0,0
45,-6.7586,41.463,25.69,406,1,0,0,0,0,0,0,0,0,0,0,0
46,5.8567,-21.062,58.567,307,0.019544,0.98046,0,0,0,0,0,0,0,0,0,0
47,36.202,57.003,-8.5187,347,0,1,0,0,0,0,0,0,0,0,0,0
48,-25.363,34.698,-16.359,295,1,0,0,0,0,0,0,0,0,0,0,0
49,7.8617,49.005,5.7394,376,0.053191,0.94681,0,0,0,0,0,0,0,0,0,0
